,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,강 의 시 간 표,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2025 학년도  2 학기     자연캠퍼스,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
학년,교과목명,한글코드,,,학점,시간,담당교수,,강좌번호,제한인원,시간(강의실),,,,비  고,
,,,,,,,,,,,목13:00-13:50 (Y9522),,,,,
,,,,,,,엄혜영,, 0063,30 ,월11:00-11:50 (Y9528),,,,,
,,,,,,,,,,,수11:00-11:50 (Y9528),,,,,
,,,,,,,,, 0064,30 ,월12:00-12:50 (Y9528),,,,,
,,,,,,,,,,,수12:00-12:50 (Y9528),,,,,
,,,,,,,,, 0065,30 ,월14:00-14:50 (Y9528),,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,3 / 77,,,,,,출력일자 : 2025-07-23,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,강 의 시 간 표,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2025 학년도  2 학기     자연캠퍼스,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
학년,교과목명,한글코드,,,학점,시간,담당교수,,강좌번호,제한인원,시간(강의실),,,,비  고,
전학년,영어2,교필107,,,2 ,2 ,엄혜영,, 0065,30 ,수14:00-14:50 (Y9528),,,,,
,,,,,,,,, 0066,30 ,월15:00-15:50 (Y9528),,,,,
,,,,,,,,,,,수15:00-15:50 (Y9528),,,,,
,,,,,,,서정아,, 0067,30 ,월10:00-10:50 (Y9524),,,,,
,,,,,,,,,,,목10:00-10:50 (Y9524),,,,,
,,,,,,,,, 0068,30 ,월11:00-11:50 (Y9524),,,,,
,,,,,,,,,,,수11:00-11:50 (Y9524),,,,,
,,,,,,,,, 0069,30 ,화10:00-10:50 (Y9524),,,,,
,,,,,,,,,,,수10:00-10:50 (Y9524),,,,,
,,,,,,,,, 0070,30 ,화11:00-11:50 (Y9524),,,,,
,,,,,,,,,,,목11:00-11:50 (Y9524),,,,,
,,,,,,,미배정,, 0071,30 ,화10:00-10:50 (Y9001),,,,,
,,,,,,,,,,,목10:00-10:50 (Y9001),,,,,
,,,,,,,,, 0072,30 ,화11:00-11:50 (Y9001),,,,,
,,,,,,,,,,,목11:00-11:50 (Y9001),,,,,
,,,,,,,,, 0073,30 ,화18:40-20:15 (Y9503),,,,스포츠지도학전공 전용강좌,
,영어회화1,교필108,,,1 ,2 ,아벤샤인,, 0074,20 ,월09:00-09:50 (Y9236),,,,,
,,,,,,,,,,,수09:00-09:50 (Y9236),,,,,
,,,,,,,,, 0075,20 ,월10:00-10:50 (Y9236),,,,,
,,,,,,,,,,,수10:00-10:50 (Y9236),,,,,
,,,,,,,,, 0076,20 ,월13:00-13:50 (Y9236),,,,,
,,,,,,,,,,,수13:00-13:50 (Y9236),,,,,
,,,,,,,,, 0077,20 ,월14:00-14:50 (Y9236),,,,,
,,,,,,,,,,,수14:00-14:50 (Y9236),,,,,
,,,,,,,,, 0078,20 ,화09:00-09:50 (Y9236),,,,,
,,,,,,,,,,,목09:00-09:50 (Y9236),,,,,
,,,,,,,,, 0079,20 ,화10:00-10:50 (Y9236),,,,,
,,,,,,,,,,,목10:00-10:50 (Y9236),,,,,
,,,,,,,,, 0080,20 ,화13:00-13:50 (Y9236),,,,,
,,,,,,,,,,,목13:00-13:50 (Y9236),,,,,
,,,,,,,,, 0081,20 ,화14:00-14:50 (Y9236),,,,,
,,,,,,,,,,,목14:00-14:50 (Y9236),,,,,
,영어회화2,교필109,,,1 ,2 ,데본,, 0082,20 ,월10:00-10:50 (Y9230),,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,4 / 77,,,,,,출력일자 : 2025-07-23,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,강 의 시 간 표,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2025 학년도  2 학기     자연캠퍼스,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
학년,교과목명,한글코드,,,학점,시간,담당교수,,강좌번호,제한인원,시간(강의실),,,,비  고,
전학년,영어회화2,교필109,,,1 ,2 ,데본,, 0082,20 ,수10:00-10:50 (Y9230),,,,,
,,,,,,,,, 0083,20 ,월11:00-11:50 (Y9230),,,,,
,,,,,,,,,,,수11:00-11:50 (Y9230),,,,,
